PMID,country
26880462,Canada
26880462,France
26880462,Germany
26880462,Italy
26880462,Netherlands
26880462,United States
26880462,United Kingdom
28089366,United States
10594798,Canada
12846752,Austria
15698450,Mexico
11532105,Italy
22486843,Sweden
14693167,United Kingdom
9495797,United States
37493357,Canada
37493357,United Kingdom
37493357,United States
25831994,United States
26989097,United States
26989097,Richard Meiser-S
12760311,Turkey
17900408,Japan
18534136,China
22613428,Turkey
28856940,Qatar
28856940,United Kingdom
30392424,China
32689849,Hungary
35766039,China
24717407,China
25168630,United States
18434578,United States
24158335,Canada
22706204,United States
25837532,United Kingdom
25837532,United States
22198338,United States
24096802,United States
34274387,United States
26712409,United States
33336359,United Kingdom
33336359,United States
34273115,United States
16874418,Finland
18480921,Germany
25766591,Sweden
33903916,Italy
38348724,Germany
38348724,United Kingdom
38348724,United States
34419758,Finland
34419758,Sweden
34419758,Turkey
29338067,Greece
9246967,Taiwan
20797686,Belgium
18585494,United States
22980305,United States
24890531,United States
33127531,Canada
33127531,Germany
33127531,United States
38309610,Austria
38309610,Czechia
38309610,France
38309610,Germany
38309610,Greece
38309610,Italy
38309610,Poland
38309610,Portugal
38309610,Slovak Republic
38309610,Spain
38309610,Netherlands
25454952,United Kingdom
27908500,United States
9757977,United States
21652026,United States
26386159,Maryland
26386159,United States
26386159,Pennsylvania
26386159,United Kingdom
26386159,Wisconsin
30862500,United States
20375690,United States
12749500,United Kingdom
21247998,United States
11412167,United Kingdom
25308195,United Kingdom
25495523,France
25764403,Germany
27995626,China
28804889,China
31788791,Clinica Alemana Santiago de Chile
31788791,Pontificia Universidad Catolica Santiago de Chile
31788791,Santiago de Chile
31788791,Universidad de Chile
20565392,Centre de Pharmacologie Clinique
20565392,France
20565392,Hopital Gabriel-Montpied
20565392,Polyclinique
20565392,Univ Clermont1
3407868,United States
2565093,Spain
2240543,United Kingdom
2278332,United Kingdom
7747847,Germany
8779380,United Kingdom
11843745,United Kingdom
12562405,United Kingdom
14984519,Denmark
10460553,Finland
15918823,Australia
16480350,United Kingdom
20337620,Ireland
11437759,United Kingdom
11531681,Singapore 119074
17605495,Turkey
26381118,Turkey
20578869,Egypt
12115153,China
17328049,Netherlands
18050169,United States
19950299,Netherlands
20112376,New Zealand
22183975,United States
8546736,Netherlands
11840436,Netherlands
8562234,China
8260375,United Kingdom
8519668,United Kingdom
8624268,United Kingdom
9218738,Japan
9376273,United Kingdom
28125821,United Kingdom
23412107,Canada M5G2M9
12085203,Japan
12838309,United Kingdom
12888815,Italy
16622455,France
16880795,United Kingdom
17024124,Italy
17437008,Netherlands
17971774,Germany
18665167,Spain
20664593,France
21179038,Italy
21157452,United States
23695016,United Kingdom
24045669,Japan
24281004,Japan
25490525,Taiwan
26931369,United Kingdom
28972963,United States
32624575,United States
33473164,United States
34006926,China
19065852,United States
15492337,United States
15583225,United States
21320923,United States
2647051,Sweden
8215644,Pennsylvania
7487215,Taiwan
9193176,United States
9833806,United States
10077049,France
20739853,United States
32516229,Canada
32516229,United Kingdom
10235529,United States
10493485,United States
11420479,Israel
14685107,United States
15650645,United States
17435545,Germany
12695153,Netherlands
10070271,Belgium
24291656,United States
31434637,Australia
31434637,Austria
31434637,South Korea
31434637,Netherlands
31434637,United States
16901960,France
18086727,United States
21821621,Germany
16798785,Poland
17158146,Australia
19255380,United States
24933451,Sweden
25305538,United States
27497840,United States
32450367,United States
17643394,United States
20576697,United Kingdom
24578545,United Kingdom
12402720,United Kingdom
26475804,Norway
25586724,Germany
25586724,-muenchende
25586724,United States
22677878,Australia
17617557,United Kingdom
10325829,Japan
9059200,United Kingdom
8110558,Manchester Royal Infirmary
1997047,New Zealand
11575411,United Kingdom
11573635,Canada
10472223,Japan
9496201,Japan
9691858,United States
1389818,United Kingdom
1911016,United States
2031819,France
3377953,Netherlands
29452815,Germany
29452815,Italy
29452815,Netherlands
30115255,China
30115255,Sweden
31959386,China
31959386,Qatar
32200994,China
35773027,Canada
36109206,Ireland
36109206,United States
23388508,Austria
25088352,Italy
26577691,United States
29193021,United States
29528122,Germany
31344253,United Kingdom
33942292,Canada
33942292,Italia
33942292,United Kingdom
33942292,United States
33942292,Netherlands
9734653,France
22533681,United States
28106903,China
28106903,France
28106903,South Korea
28106903,Taiwan
28106903,United States
33403663,Denmark
33403663,Italy
33403663,Sweden
33403663,Netherlands
33403663,United States
12181048,United States
20201949,United Kingdom
11167854,Netherlands
21114893,Spain
22396054,France
29405273,United Kingdom
19039880,Canada
26574828,China
21291438,United States
38537230,China
29516490,United States
36104012,United Kingdom
36104012,United States
22297387,Germany
19720791,United Kingdom
19502412,United States
20522594,United States
7851583,Chapel Hill
12620440,United States
12749435,Italy
12738504,Italy
9389815,United States
9848301,Spain
9935124,Israel
10973657,United States
11172852,Italy
11287014,United States
2180748,Georgia
7890058,United States
9806578,United States
10685535,France
15749498,United States
15950671,United States
16412739,Colombia
17434505,Italy
17383643,United Kingdom
17919608,Switzerland
19268930,India
20189169,Netherlands
21703613,Canada
23040523,Denmark
23040523,United States
26949110,Colorado
26949110,Connecticut
26949110,United States
26949110,Georgia
26949110,Maryland
26949110,Massachusetts
26949110,Oklahoma
26949110,Pennsylvania
26949110,Vermont
15969830,United Kingdom
26934504,Poland
29322827,Italy
36181505,China
11900234,Italy
17075878,United States
17103444,Belgium
17503433,Italy
17701957,Massachusetts
18512224,United States
18646045,United States
18785254,United States
20041484,United States
21218459,United States
23798046,Japan
23922187,Vermont
25565269,United Kingdom
27135464,Maine
27787873,Pennsylvania
27787873,United States
29381191,United States
29381191,Connecticut
29381191,Germany
29381191,Illinois
29381191,Massachusetts
29578594,United States
32533792,Israel
32533792,United States
35143041,District of Columbia
35143041,Maryland
35143041,Massachusetts
35143041,United States
35895381,United States
34144047,France
34144047,Germany
34144047,Italy
34144047,Massachusetts
34144047,Minnesota
34144047,United States
23710834,Italy
23102380,India
36007555,India
36736459,Belarus
36736459,China
36736459,Columbia
36736459,India
36736459,Singapore
36736459,South Korea
36736459,Taiwan
36736459,United States
37085388,China
37193905,Iran
19592055,Japan
35760117,Italy
35760117,United Kingdom
15711503,Israel
14735021,Italy
22441361,Italy
24923683,Belgium -
30994312,Canada
30994312,Spain -
30994312,Spain
19710354,United States
30304477,United States
17322427,Sweden
23488588,United States
31657021,United States
21733136,United States
16332938,United Kingdom
32738042,Argentina
32738042,Arizona
32738042,United States
32738042,Indiana
32738042,Minnesota
20610601,United States
10426465,United Kingdom
9307129,United States
20032239,Denmark
30878207,Spain
30878207,Netherlands
30878207,United Kingdom
34571023,United States
39142059,Taiwan
29635492,Ireland
29635492,United Kingdom
30101333,United States
16825685,United States
15321807,United States
14985218,India
17284744,New Zealand
16960167,Norway
16469992,United Kingdom
18541589,Switzerland
17490963,United States
17556693,United Kingdom
28793993,Denmark
28793993,and
28971849,Australia
20219962,Japan
25411294,United States
19515731,Netherlands
19640954,Australia
19793859,United Kingdom
25934864,Netherlands
34617558,Philippines
34617558,Switzerland
34617558,Netherlands
32005992,United States
32005992,Uganda
36041176,Australia
36041176,China
36041176,France
36041176,Greece
36041176,Italy
36041176,Norway
36041176,Poland
36041176,United Kingdom
36373403,Singapore
36373403,United States
21562091,United States
22170366,United States
22990034,United States
24401718,United States
24622803,United States
26675771,United Kingdom
17881004,United States
11135169,United States
20106358,Australia
20176217,Sweden
21600592,United States
22964356,Norway
22999589,China
26282605,Canada
26282605,Sweden
32386761,Brazil
32386761,Canada
32386761,Conn
32386761,Fla
32386761,Germany
32386761,Md
32386761,United States
14566264,United States
7637351,Canada
9104995,Japan
9535437,United States
18930256,United States
27291652,United States
27291652,France
27291652,Georgia
27291652,Missouri
27291652,United Kingdom
17142523,United States
22430457,United States
23545372,United States
28784701,United States
28784701,Oregon
28784701,and
31043453,United States
31043453,Columbus Ohio
31043453,Illinois
34292206,Massachusetts
37234022,Netherlands
9602688,Italy
11971941,Australia
11254756,Italy
9254075,United Kingdom
15292370,United States
14523053,Switzerland
19828909,Netherlands
25341424,Germany
25341424,-heidelbergde
15802866,Iran
29251735,United Kingdom
35437789,United States
28711725,Australia
28711725,Qatar
28711725,United Kingdom
30925280,Germany
31727306,Sweden
37267853,Denmark
21946446,Italy
15534261,United States
23100396,United States
27521437,United States
28446644,Germany
28724581,Farmington
29263226,United States
32913021,United States
24285617,United States
22914466,United States
34856577,Maryland
15655266,Turkey
27509544,CBS)
20863929,Irmandade da Santa Casa da Misericordia de Santos
17533053,Australia
27465727,Ltd
24919692,Netherlands
24919692,and
20739446,Sweden
26581682,South Korea
26581682,and
26609168,Benin
26609168,Netherlands
26609168,Switzerland
18641189,Denmark
26936134,Australia
17885018,United States
18029478,United States
16251607,Spain
37598750,Denmark
37598750,United Kingdom
39019159,Spain
39019159,Sweden
39019159,United Kingdom
22649264,United States
30968123,United States
30968123,Mali
30968123,Australia
22955513,United States
25527666,United States
25527666,Departments of
25527666,Tanzania
25527666,and
28179488,United States
28179488,Vietnam
28179488,and
20429491,United States
17699944,India
37991300,United Kingdom
37991300,India
25005196,China
16929307,United Kingdom
22634875,United States
23129758,United States
25712967,United States
25712967,Maryland
25712967,Missouri
25712967,North Carolina
25712967,Tennessee
25712967,Iowa City VA Healthcare System
26667315,Australia
26667315,Uganda
28329080,South Africa
28329080,United States
28329080,Uganda
29514306,Bangladesh
29514306,Burlington
29514306,Charlottesville
31681963,South Africa
31681963,United States
31681963,Zimbabwe
32658250,Puerto Rico
32658250,Switzerland
32658250,Thailand
32658250,United States
34496013,United States
37285482,Austria
37285482,Belgium
38133639,Belgium
38133639,Canada
38133639,United States
38373834,South Korea
28540994,South Korea
22665339,China
3057674,Kent
8322247,Australia
7701450,United Kingdom
7638812,South Africa
9093339,United Kingdom
9797756,United Kingdom
1494770,Dundee
8553302,Australia
11182010,United Kingdom
11413350,Germany
10992535,United Kingdom
22544892,United States
21878747,Finland
17449081,Canada
17575995,Australia
37646664,Barcelona
37646664,Belgium
37646664,Hungary
37646664,Krakow
37646664,Lyon
37646664,United States
37646664,Novara
37646664,Planegg
37646664,Terni
37646664,United Kingdom
37646664,Wurzburg
38031755,Besancon
38031755,Bordeaux
38031755,Brest France
38031755,Caen
38031755,Cancer Center Baclesse Caen
38031755,Chambery
38031755,Clermont-Ferrand
38031755,Creteil
38031755,F- Paris
38031755,Metz
38031755,Montpellier
38031755,Nancy
38031755,Nantes
38031755,Oncohematology department
38031755,Rennes
38031755,Research
38031755,innovation unit
38031755,Rouen
38031755,Saint Etienne
38031755,Strasbourg
38031755,Tours
38031755,UVSQ
38031755,Universite catholique de Lille
21791471,Lebanon
21933851,Germany
25862705,Austria
25862705,Czechia
25862705,Italy
25862705,Switzerland
28642300,Canada
28642300,United States
30076178,ASL Salerno
30076178,Alessandria
30076178,Ancona
30076178,Bologna
30076178,Italy
30076178,Ivrea
30076178,Potenza
30076178,Savona
30076178,Turin
30381302,Bobigny
30381302,France
30381302,Nancy
30381302,Nice
30545921,United States
30545921,Australia
17971841,Japan
11175474,Brazil
12426643,Brazil
1911657,United Kingdom
11673291,Japan
14693783,Switzerland
12714403,Germany
22569835,Switzerland
25577176,Japan
32813051,Belgium
32813051,Canada
32813051,Denmark
32813051,Italy
32813051,United Kingdom
32813051,United States
22093005,United Kingdom
19563329,Spain
23223144,Australia
16675962,United States
29596904,France
1701802,Germany
14657288,Cuba
7689749,Germany
10690451,United Kingdom
34551902,Finland
16720886,Netherlands
26702013,Austria
26702013,Norway
31096725,Italy -
31096725,Italy
15283479,France
22440067,United States
7856783,Ore
25229656,Belgium
30829137,Iran
25008012,United States
38880251,Canada
38880251,France
38880251,Mass
38880251,United States
23681677,United States
25401417,Brazil
26154185,Netherlands
20885291,Norway
23681144,United States
2569279,North Carolina
1539846,Missouri
8363071,France
8363079,Belgium
8017642,Germany
8092502,United States
7741287,Japan
8638839,United States
8873548,China
9232132,United States
10360848,Brazil
10551573,United States
10638905,Switzerland
10839904,Germany
10969304,Canada
11465562,Switzerland
19104168,South Korea
25050491,France
25992877,United States
12357164,Ireland
12502979,United States
24368463,United States
20682932,United States
21954478,United States
15855433,United States
33724323,United States
33724323,Massachusetts
29297078,Australia
29297078,Canada
29297078,Czechia
29297078,Estonia
29297078,Finland
29297078,Germany
29297078,Hungary
29297078,Italy
29297078,Luxembourg
29297078,Missouri
29297078,Pennsylvania
29297078,Poland
29297078,United States
29297078,Spain
29297078,Sweden
29297078,Switzerland
29297078,Tampa
29297078,Netherlands
32749491,United States
32749491,Massachusetts
32749491,Pennsylvania
33620405,United States
33620405,Georgia
33620405,Lexington
33620405,Maryland
33620405,Nashville
33620405,Pennsylvania
33620405,Richmond
33620405,Salt Lake City
33620405,Tennessee
33620405,Virginia
37490086,Austin
37490086,United Kingdom
37490086,Chapel Hill
37490086,Columbus
37490086,United States
37490086,Galveston
37490086,Illinois
37490086,Maryland
37490086,Pennsylvania
37490086,Rhode Island
37490086,Salt Lake City
39548608,Pakistan
34057922,Pakistan
33475580,Pakistan
22221277,Georgia
16719648,Israel
19328264,United States
19465188,United States
26782852,Sweden
27655061,United States
27655061,Wisconsin
24285030,United States
22271764,China
23104210,United States
24565955,United States
28954299,United States
33733257,Singapore
36317579,Singapore
24617605,United States
24837659,United States
32736411,United States
32736411,Kansas
32736411,Massachusetts
32736411,New Hampshire
32736411,New Jersey
32736411,Pennsylvania
32736411,South Carolina
9643622,Netherlands
9723825,United Kingdom
21480950,Belgium
2713213,Netherlands
2653395,United Kingdom
2719894,United Kingdom
2190630,United Kingdom
7547090,United States
9131947,Sweden
27096250,Ljubljana
27096250,Slovenia
27324407,Brazil
27324407,Denmark
27324407,Rio de Janeiro
29885068,Belgium
29885068,France
29885068,United Kingdom
30421447,France
30521129,Bulgaria
30521129,Germany
30521129,United Kingdom
30521129,United States
31755993,Netherlands
31755993,United States
12848774,United States
10510146,United Kingdom
10759694,France
15963088,Israel
19371313,United Kingdom
20233185,Italy
14572189,United States
8567908,Netherlands
8576331,Canada
18385443,France
18757729,United Kingdom
30808743,United States
11248068,United States
8981691,United States
10700763,United Kingdom
10364951,United Kingdom
8678445,South Africa
10700759,United Kingdom
11417034,Ghana
29962548,Burkina Faso
29962548,United Kingdom
29962548,Norway
29962548,Switzerland
1343451,United States
23318127,United States
17005058,Egypt
26443018,Australia
26443018,Belgium
29208758,United States
25548798,Denmark
35024908,Netherlands
39217077,Canada
39217077,Denmark
39217077,United Kingdom
21903347,United States
23711998,United States
25448081,United States
25448081,United Kingdom
27161860,United States
27372219,United States
28599212,United States
29758380,United States
31499240,United States
32712569,United States
34144507,United States
34555691,United States
36645978,United States
37478502,United States
23104493,Argentina
26917681,United Kingdom
31923105,China
32068603,China
32187052,China
34310400,China
19368417,United States
26875540,Japan
29637434,United States
22119521,United States
24333038,United States
25452069,United States
27610591,United States
35671553,United States
9242528,Italy
10216077,France
8896396,United Kingdom
1586709,Australia
7949090,Italy
2189506,Italy
1993213,Austria
11567989,United States
11369628,United States
15388575,France
15213095,Australia
16556892,Sweden
20664061,France
27099151,France
27099151,and
24458439,Italy
19332768,Canada
19887674,Italy
22084312,United Kingdom
24786773,Italy
24786773,and
17148584,Italy
17982022,United Kingdom
21385856,Italy
22438256,Canada
17412890,France
23589673,Austria
29483101,Denmark
29483101,United States
29483101,and
28684537,United States
28483761,United States
28483761,France
18974373,United States
24829204,China
24829204,United States
21878675,United States
30647027,Sweden
30341058,United States
30341058,China
30341058,Italy
30341058,Japan
30341058,South Korea
30341058,Switzerland
30341058,and
23297129,United States
22855599,United States
23886836,Division of Hematology
33598693,Germany
33598693,United States
33598693,Italy
33598693,Netherlands
33067632,Austria
33067632,Russia
33067632,and
22541967,United States
30496882,Georgia
30496882,Maryland
30496882,Missouri
30496882,New Hampshire
30496882,New Jersey
30496882,Pennsylvania
30496882,Wisconsin
21523384,Switzerland
36076107,Spain
17696986,Netherlands
19088307,United States
23455335,New Zealand
26123704,Switzerland
17588225,Germany
20521030,United States
21340475,Netherlands
28918441,Switzerland
34166100,United Kingdom
23619915,United States
25691474,New Jersey
25691474,Pennsylvania
27696475,France
28891226,Italy
32681734,Belgium
32681734,France
36594167,Australia
36594167,Canada
36594167,Italy
36594167,United States
36683422,China
36877527,China
28142202,Greece
28142202,Italy
28142202,Lebanon
28142202,Malaysia
28142202,Switzerland
28142202,United Kingdom
28142202,United States
10814990,Japan
16481959,United States
17462829,United States
35065334,Netherlands
32713518,Thailand
27750291,United Kingdom
15042289,Switzerland
19652953,France
16835743,China
22872412,United Kingdom
22411658,United States
9589819,United States
31447129,New Zealand
31447129,United States
30902790,Brazil
20225281,Canada
35777122,Canada
35777122,United States
19243824,United States
26359188,Australia
26359188,United States
26359188,Maryland
26359188,Pennsylvania
26359188,United Kingdom
26359188,Utah
26365210,United States
26365210,Kentucky
26365210,Missouri
26365210,Pennsylvania
29096996,Sweden
31619357,Australia
31619357,Switzerland
38492865,India
38492865,Maryland
38492865,United States
38492865,Minnesota
8115147,United States
36617176,Burkina Faso
36617176,United States
9435323,United States
7860736,Maryland
8690809,United States
9294113,France
15696196,Switzerland
33164985,United States
33164985,and
33201861,Germany
33201861,United States
33201861,United Kingdom
34464358,Germany
34464358,and
22986600,United States
20928906,South Africa
22987697,Connecticut  USA
35508892,United Kingdom
35508892,United States
19650848,United Kingdom
20885302,United States
21116175,United States
31569180,United States
32220917,United Kingdom
35051276,United States
35051276,Canada
36920087,Australia
36920087,United States
36920087,Canada
36920087,Germany
19366972,United States
20103550,United States
20332354,United States
20805274,Italy
21216855,Netherlands
21836103,United States
22584132,Netherlands
23315603,United States
28100606,United States
28100606,Canada
29563196,United States
31332027,China
31332027,United States
32245746,United Kingdom
33154039,United States
22622598,United States
19421753,United States
30790211,Australia
30790211,Italy
30790211,South Africa
30790211,United States
36066688,United States
37932643,United Kingdom
37918066,South Korea
39317030,China
39317030,Germany
39317030,Italy
39317030,Switzerland
39317030,United Kingdom
39317030,Ukraine
31859725,Brazil
30636829,Turkey
24550580,India
38687314,India
38174532,China
2914543,Ann Arbor
26412308,Singapore
26412308,United Kingdom
37490933,Taiwan
19488847,United States
35181846,United States
32812824,United States
19235038,United States
34247263,Japan
21269278,United States
27129183,Australia
27129183,Chile
21782251,United States
23489396,Netherlands
25259674,United States
29331703,Australia
29331703,Denmark
34953926,United States
35752220,Malawi
35752220,United States
36395989,Canada
36395989,Denmark
37863366,Australia
37863366,United Kingdom
30636547,AC)
30636547,BP)
30636547,EJMF)
30636547,France
30636547,Italy
31865790,AMH)
31865790,United States
31865790,Charleston
31865790,Memphis
27849563,United States
17365165,United States
7829722,United States
31791824,United States
31791824,Canada
31791824,United Kingdom
8912565,United States
9366834,Netherlands
34748017,Switzerland
34748017,United Kingdom
37708303,United Kingdom
23756308,United States
32893274,Turkey
31588477,Turkey
36940973,China
10791296,Germany
22569355,United States
14652260,United States
21398682,Spain
25445614,United Kingdom
31595954,Maryland
27871030,Netherlands
27871030,United Kingdom
27871030,United States
31521046,Japan
37540942,Australia
37540942,United States
38950483,Australia
38950483,Germany
19560905,United States
31089877,Germany
31089877,Sweden
26947800,Australia
26947800,United States
26947800,New Zealand
26947800,Singapore
26947800,United Kingdom
16920503,Netherlands
1595430,United States
9159358,United States
16155133,Germany
19279273,China
19164438,Canada
20053811,United States
37169541,Australia
37169541,Belgium
37169541,CC)
37169541,CJO)
37169541,Canada
37169541,DM)
37169541,Dominican Republic
37169541,France
37169541,JS)
37169541,NB)
37169541,Tennessee
11343150,United States
18554731,United States
20386337,United States
30496493,Germany
31329863,United Kingdom
31329863,United States
34363386,Belgium
34363386,F-
34363386,France
34363386,Spain
34363386,Switzerland
34363386,Netherlands
34447995,Belgium
34447995,Czechia
34447995,Denmark
34447995,Germany
34447995,Greece
34447995,Italy
34447995,Netherlands
34447995,Poland
34447995,Switzerland
34447995,United Kingdom
8249618,China
25573704,Milano
27862097,Illinois
27862097,North Carolina
14573543,United Kingdom
12657700,United States
18495880,Germany
21613498,Canada
20739557,Germany
21084608,United States
16101182,Japan
34053786,Norway
38954912,Sweden
16957137,France
33625291,United States
24457184,United States
25358549,Germany
37903483,Denmark
37903483,Germany
37903483,Netherlands
37903483,United Kingdom
37903483,United States
25514063,United States
23948785,United States
11476127,France
20361253,Spain
21360075,Netherlands
22198470,United States
36877215,China
18183031,Japan
30782059,Germany
30782059,United States
26352697,China
29267506,China
31166383,China
19178965,United States
27631719,China
27631719,United Kingdom
29657058,Sweden
36435917,Egypt
27913870,United States
19770625,Canada
20033244,Netherlands
37751000,Italy
37751000,United States
18979977,United States
19025280,United States
19514189,China
27151903,Alabama USA
27151903,DC USA
27151903,Illinois USA
27151903,Maryland USA
27151903,Michigan USA
27151903,New York USA
27151903,North Carolina USA
27151903,Ohio USA
27151903,Oregon USA
27151903,Pennsylvania USA
27151903,Rhode Island USA
27151903,Texas USA
27151903,Utah USA
17184890,United States
21803113,United States
18939706,Italy
30551404,China
37852099,South Korea
17215967,China
22561291,United Kingdom
27813150,Italy
14975460,Netherlands
15172407,United States
7797777,United States
7594100,Germany
11897434,United States
12427406,United States
8996290,Japan
10362185,United States
10400007,United States
15312873,United States
16022951,Netherlands
16979007,United States
16978997,Sweden
17291932,United States
17418297,China
19232896,United States
19643320,Italy
20447532,Germany
21211688,Italy
24140678,Massachusetts
25060372,Canada
25060372,Delaware
25060372,Georgia
25060372,Iowa
25060372,Maryland
25060372,Massachusetts
25060372,United States
25060372,North Carolina
25060372,Pennsylvania
25060372,Virginia
26541919,Canada
26541919,Illinois
26541919,Italy
26541919,Maryland
26541919,Minnesota
26541919,United States
26541919,New Zealand
26541919,North Carolina
26541919,Poland
26541919,Singapore
26541919,United Kingdom
29154813,Czechia
29724346,South Korea
31296293,Italy
35300814,United States
37380301,Russia
37380301,United States
2254554,United States
1699982,Ann Arbor
8077528,Italy
7930236,Orange
8626951,United States
10933370,United States
11127452,United States
1538013,United States
10091831,Switzerland
27302659,United States
33960005,United States
23972555,Norway
30979659,United States
33025883,Thailand
34882063,Japan
18608825,Australia
20121505,Mexico
25546524,Turkey
32811236,India
34994291,Turkey
12790293,Erzurun-Turkey
2148744,Tucson
18217206,United States
23756764,United States
32578154,Austria
32578154,India
32578154,Japan
30523748,United States
30523748,Israel
30523748,Italy
30523748,Singapore
30523748,Spain
30523748,Netherlands
31721643,United States
33750196,Belgium
33750196,United States
33750196,United Kingdom
33750196,France
33750196,Germany
33750196,Italy
33750196,South Korea
33750196,Spain
33750196,Netherlands
18427151,France
19204199,United States
20142595,United States
22162575,Austria 1100
23233710,United States
23169523,United States
27601542,United States
28748343,Netherlands
25703452,Brazil
25703452,Haiti
25703452,India
25703452,Malawi
25703452,Peru
25703452,South Africa
25703452,Thailand
25703452,United States
25703452,Zimbabwe
26212172,Spain
29050650,France
29050650,Germany
29050650,Netherlands
30642738,France
33933722,Norway
36084360,Spain
36084360,United States
28198785,Belgium
28198785,North Carolina
28198785,United States
28198785,Pennsylvania
28704254,Germany
28704254,Italy
28704254,New Jersey
28704254,SAR
28704254,Switzerland
28704254,United Kingdom
30964778,China
30964778,and
38341994,Spain
38341994,Netherlands
9681128,Thailand
25003729,Turkey
17143898,Australia
20058261,United States
14656658,United States
29460440,United States
35381609,Alabama
35381609,United States
35381609,Dist
35381609,Illinois
35381609,North Carolina
